"","seqnames","start","end","width","strand","baseMeans"
"161","BA000022.2",2572610,2572610,1,"+",6.59512858930602
"162","BA000022.2",2600149,2600149,1,"+",5.61512842052352
"163","BA000022.2",2627693,2627693,1,"+",14.1626352046272
"164","BA000022.2",2640877,2640878,2,"+",11.9306036634901
"165","BA000022.2",2668454,2668454,1,"+",6.76453536790809
"166","BA000022.2",2671467,2671467,1,"+",7.74560301013758
"167","BA000022.2",2682337,2682338,2,"+",11.7430240297888
"168","BA000022.2",2683404,2683404,1,"+",8.26245352590274
"169","BA000022.2",2692110,2692110,1,"+",7.72793017065287
"170","BA000022.2",2693559,2693559,1,"+",7.40692490785248
"171","BA000022.2",2757006,2757006,1,"+",6.34190732234107
"172","BA000022.2",2803015,2803015,1,"+",4.20074886319856
"173","BA000022.2",2803354,2803357,4,"+",10.9157635394565
"174","BA000022.2",2892118,2892118,1,"+",5.53143485660224
"175","BA000022.2",2907980,2907980,1,"+",6.11752494817238
"176","BA000022.2",2958352,2958352,1,"+",7.99606664036703
"177","BA000022.2",2961921,2961921,1,"+",6.39796567840354
"178","BA000022.2",3070302,3070302,1,"+",4.91939344554893
"179","BA000022.2",3080233,3080233,1,"+",13.8160587368139
"180","BA000022.2",3100301,3100301,1,"+",18.3480508260572
"181","BA000022.2",3103839,3103839,1,"+",7.24973283563143
"182","BA000022.2",3125585,3125585,1,"+",8.97195699697188
"183","BA000022.2",3131203,3131203,1,"+",16.8275723087396
"184","BA000022.2",3152355,3152355,1,"+",4.84651396781849
"185","BA000022.2",3163392,3163392,1,"+",10.0308518738932
"186","BA000022.2",3164680,3164692,13,"+",12.7446551368028
"187","BA000022.2",3188011,3188011,1,"+",7.52484012140086
"188","BA000022.2",3263668,3263668,1,"+",5.72949119199068
"189","BA000022.2",3284315,3284327,13,"+",6.45065019410991
"190","BA000022.2",3284348,3284348,1,"+",6.64184196379284
"191","BA000022.2",3284375,3284375,1,"+",14.5167219530224
"192","BA000022.2",3284482,3284483,2,"+",16.2125539827637
"193","BA000022.2",3316823,3316823,1,"+",19.8683074389967
"194","BA000022.2",3322434,3322434,1,"+",10.2935300161868
"195","BA000022.2",3341582,3341582,1,"+",10.5459352683013
"196","BA000022.2",3346880,3346880,1,"+",5.83644800874581
"197","BA000022.2",3357313,3357313,1,"+",8.67593983919894
"198","BA000022.2",3365474,3365474,1,"+",5.90977238874184
"199","BA000022.2",3407550,3407550,1,"+",5.68772825460752
"200","BA000022.2",3432208,3432208,1,"+",5.30298174367808
"201","BA000022.2",3446149,3446149,1,"+",5.41733099469999
"202","BA000022.2",3481020,3481020,1,"+",8.79140030853291
"203","BA000022.2",3515834,3515834,1,"+",8.70763751761521
"204","BA000022.2",69244,69244,1,"-",7.94023723867523
"205","BA000022.2",74877,74877,1,"-",14.7619632584113
"206","BA000022.2",86494,86494,1,"-",5.31434338447662
"207","BA000022.2",86545,86545,1,"-",12.0202765371938
"208","BA000022.2",93253,93253,1,"-",7.40010680207713
"209","BA000022.2",93810,93810,1,"-",16.6226096325527
"210","BA000022.2",126736,126736,1,"-",14.8207012921248
"211","BA000022.2",126816,126816,1,"-",7.35399834907852
"212","BA000022.2",127656,127656,1,"-",7.19687569237377
"213","BA000022.2",153576,153576,1,"-",6.06234406665188
"214","BA000022.2",171133,171133,1,"-",17.9178535090335
"215","BA000022.2",227110,227110,1,"-",5.99450944119471
"216","BA000022.2",228804,228804,1,"-",10.6633253038609
"217","BA000022.2",248712,248714,3,"-",17.8391350535787
"218","BA000022.2",303468,303468,1,"-",6.39424995270333
"219","BA000022.2",313330,313330,1,"-",6.78570341933175
"220","BA000022.2",386667,386668,2,"-",7.60635149598464
"221","BA000022.2",386697,386697,1,"-",15.8002256429314
"222","BA000022.2",432379,432379,1,"-",5.26906147746199
"223","BA000022.2",453219,453219,1,"-",6.20664032072126
"224","BA000022.2",489274,489274,1,"-",11.9151417937702
"225","BA000022.2",530328,530328,1,"-",5.91876615513597
"226","BA000022.2",535562,535562,1,"-",5.60596612198638
"227","BA000022.2",535878,535878,1,"-",18.0037487096772
"228","BA000022.2",537700,537700,1,"-",8.13678902911638
"229","BA000022.2",538010,538010,1,"-",10.5624296491869
"230","BA000022.2",562236,562236,1,"-",14.7474150598918
"231","BA000022.2",588481,588487,7,"-",7.86760851737895
"232","BA000022.2",595688,595691,4,"-",11.2683911473158
"233","BA000022.2",636584,636584,1,"-",4.71162178609414
"234","BA000022.2",642555,642555,1,"-",12.4756965882935
"235","BA000022.2",673718,673718,1,"-",6.12255322750782
"236","BA000022.2",680919,680919,1,"-",12.7032614842788
"237","BA000022.2",682298,682298,1,"-",13.9739777237894
"238","BA000022.2",704539,704539,1,"-",5.67203038963499
"239","BA000022.2",708439,708439,1,"-",6.27384095361567
"240","BA000022.2",713541,713541,1,"-",8.60927490742091
"241","BA000022.2",760506,760506,1,"-",6.79986297403073
"242","BA000022.2",767704,767704,1,"-",12.8287677133532
"243","BA000022.2",783063,783063,1,"-",5.4389932714705
"244","BA000022.2",810106,810106,1,"-",14.1764285059243
"245","BA000022.2",875991,875991,1,"-",5.98157085128835
"246","BA000022.2",902159,902159,1,"-",6.76572504491995
"247","BA000022.2",916293,916293,1,"-",5.42267548211645
"248","BA000022.2",916732,916732,1,"-",13.9145182883186
"249","BA000022.2",917229,917229,1,"-",3.11764172865036
"250","BA000022.2",941870,941870,1,"-",4.2182719066497
"251","BA000022.2",942190,942190,1,"-",8.75164353193688
"252","BA000022.2",942467,942467,1,"-",6.26876761868638
"253","BA000022.2",942730,942730,1,"-",9.1956866024552
"254","BA000022.2",942796,942796,1,"-",6.04382395113468
"255","BA000022.2",942831,942837,7,"-",6.71144564398837
"256","BA000022.2",943129,943149,21,"-",9.82087998227231
"257","BA000022.2",943243,943243,1,"-",16.4500798929099
"258","BA000022.2",943297,943297,1,"-",12.962281428864
"259","BA000022.2",943359,943361,3,"-",7.65743289406712
"260","BA000022.2",943645,943645,1,"-",6.57394087828183
"261","BA000022.2",943901,943901,1,"-",4.44883186037162
"262","BA000022.2",944822,944822,1,"-",5.62974954778249
"263","BA000022.2",945098,945098,1,"-",6.81048691029453
"264","BA000022.2",945222,945252,31,"-",13.8049057363835
"265","BA000022.2",945405,945405,1,"-",5.4941094044141
"266","BA000022.2",945877,945877,1,"-",11.5059535011718
"267","BA000022.2",946223,946223,1,"-",5.31159217294654
"268","BA000022.2",946266,946266,1,"-",6.22011759364089
"269","BA000022.2",954257,954257,1,"-",17.8744282096696
"270","BA000022.2",958210,958210,1,"-",7.02967939213621
"271","BA000022.2",959344,959344,1,"-",6.70891197754882
"272","BA000022.2",959592,959593,2,"-",18.4487879493779
"273","BA000022.2",959703,959703,1,"-",8.65259788204636
"274","BA000022.2",961486,961486,1,"-",8.9087706995751
"275","BA000022.2",1020166,1020167,2,"-",13.1542227735051
"276","BA000022.2",1079408,1079408,1,"-",7.02323692703068
"277","BA000022.2",1106953,1106953,1,"-",12.7610343832581
"278","BA000022.2",1107812,1107812,1,"-",7.05697856927573
"279","BA000022.2",1156033,1156033,1,"-",15.0594714334425
"280","BA000022.2",1212899,1212899,1,"-",7.88452658470843
"281","BA000022.2",1279201,1279201,1,"-",6.29725652896458
"282","BA000022.2",1338736,1338736,1,"-",11.2589131898198
"283","BA000022.2",1389827,1389827,1,"-",9.94419869718925
"284","BA000022.2",1392614,1392614,1,"-",8.19558901199906
"285","BA000022.2",1418223,1418223,1,"-",10.9443325624126
"286","BA000022.2",1430526,1430528,3,"-",18.3870777795029
"287","BA000022.2",1430605,1430605,1,"-",6.66818631436467
"288","BA000022.2",1430710,1430711,2,"-",4.87725128956712
"289","BA000022.2",1431265,1431265,1,"-",7.26570308682064
"290","BA000022.2",1431314,1431316,3,"-",4.90018927294069
"291","BA000022.2",1431521,1431529,9,"-",4.22353852346567
"292","BA000022.2",1448727,1448727,1,"-",5.14984710255009
"293","BA000022.2",1453551,1453551,1,"-",5.25287164924687
"294","BA000022.2",1455508,1455508,1,"-",7.09957402667146
"295","BA000022.2",1471283,1471283,1,"-",7.2658041994822
"296","BA000022.2",1472439,1472439,1,"-",6.51142401950415
"297","BA000022.2",1474961,1474961,1,"-",11.2505079559717
"298","BA000022.2",1477181,1477181,1,"-",12.0240958515646
"299","BA000022.2",1477477,1477477,1,"-",7.3874332006446
"300","BA000022.2",1495461,1495461,1,"-",6.02759312688965
"301","BA000022.2",1538084,1538084,1,"-",6.39497837679803
"302","BA000022.2",1568153,1568153,1,"-",7.75754761818056
"303","BA000022.2",1572582,1572582,1,"-",7.77197751238461
"304","BA000022.2",1574378,1574378,1,"-",4.70707842076346
"305","BA000022.2",1594934,1594934,1,"-",15.2780719836703
"306","BA000022.2",1602149,1602149,1,"-",7.58315935755978
"307","BA000022.2",1605580,1605580,1,"-",7.76405905775907
"308","BA000022.2",1608539,1608539,1,"-",5.96763464796386
"309","BA000022.2",1614196,1614196,1,"-",10.4192797275082
"310","BA000022.2",1679533,1679533,1,"-",3.892807785888
"311","BA000022.2",1684900,1684900,1,"-",8.1987257739735
"312","BA000022.2",1728278,1728278,1,"-",6.32316739691239
"313","BA000022.2",1732790,1732790,1,"-",7.35337252692495
"314","BA000022.2",1764574,1764574,1,"-",6.56666175556193
"315","BA000022.2",1773502,1773502,1,"-",7.27233670332013
"316","BA000022.2",1869360,1869360,1,"-",6.63891523316415
"317","BA000022.2",1910092,1910093,2,"-",8.44311492357821
"318","BA000022.2",1910342,1910342,1,"-",5.16878238553879
"319","BA000022.2",1921443,1921443,1,"-",6.65184050618965
"320","BA000022.2",1932000,1932000,1,"-",8.7778317261821
"321","BA000022.2",1984656,1984656,1,"-",9.45389039252977
"322","BA000022.2",1991996,1991996,1,"-",10.8859737097539
"323","BA000022.2",2008721,2008721,1,"-",6.86887383269317
"324","BA000022.2",2008838,2008838,1,"-",6.27385037644636
"325","BA000022.2",2012981,2012981,1,"-",12.734437196592
"326","BA000022.2",2013627,2013627,1,"-",9.17058388319145
"327","BA000022.2",2021866,2021866,1,"-",6.34502438328659
"328","BA000022.2",2067758,2067758,1,"-",6.58773740463273
"329","BA000022.2",2072790,2072790,1,"-",6.69033223753721
"330","BA000022.2",2098441,2098441,1,"-",12.1948149664191
"331","BA000022.2",2140399,2140399,1,"-",6.91795659832443
"332","BA000022.2",2164463,2164463,1,"-",9.59225624741149
"333","BA000022.2",2169084,2169084,1,"-",6.75349341439325
"334","BA000022.2",2241236,2241236,1,"-",7.07453798564882
"335","BA000022.2",2248645,2248645,1,"-",10.4180044764325
"336","BA000022.2",2272938,2272938,1,"-",11.2415195310728
"337","BA000022.2",2296358,2296358,1,"-",7.35014265717963
"338","BA000022.2",2296414,2296414,1,"-",7.92106996899035
"339","BA000022.2",2364032,2364032,1,"-",6.25537796527048
"340","BA000022.2",2376964,2376964,1,"-",4.23486240829663
"341","BA000022.2",2377351,2377351,1,"-",6.39373090903113
"342","BA000022.2",2377450,2377450,1,"-",7.41903985670353
"343","BA000022.2",2377565,2377565,1,"-",4.3099459990905
"344","BA000022.2",2387183,2387183,1,"-",7.55863170747331
"345","BA000022.2",2429112,2429112,1,"-",5.78237704291119
"346","BA000022.2",2479442,2479442,1,"-",4.131831755704
"347","BA000022.2",2507344,2507344,1,"-",7.16999251085305
"348","BA000022.2",2579168,2579168,1,"-",3.79666050304655
"349","BA000022.2",2583709,2583709,1,"-",19.5727898270305
"350","BA000022.2",2602698,2602698,1,"-",10.4078739287725
"351","BA000022.2",2609037,2609037,1,"-",9.64494832782676
"352","BA000022.2",2617918,2617918,1,"-",5.57711427935217
"353","BA000022.2",2618870,2618870,1,"-",13.2734066378758
"354","BA000022.2",2618894,2618894,1,"-",8.24131116447268
"355","BA000022.2",2661755,2661755,1,"-",6.91619681720097
"356","BA000022.2",2725186,2725186,1,"-",11.6814765585722
"357","BA000022.2",2767251,2767251,1,"-",10.2117781605659
"358","BA000022.2",2775116,2775116,1,"-",7.95988547167944
"359","BA000022.2",2777097,2777097,1,"-",5.66881359241876
"360","BA000022.2",2777190,2777190,1,"-",7.36132794086657
"361","BA000022.2",2777236,2777236,1,"-",6.41641272710788
"362","BA000022.2",2777294,2777294,1,"-",5.38052129646124
"363","BA000022.2",2777325,2777325,1,"-",10.3608636868351
"364","BA000022.2",2777379,2777379,1,"-",10.24629945737
"365","BA000022.2",2800715,2800715,1,"-",7.16004723135161
"366","BA000022.2",2853754,2853754,1,"-",4.68537758588596
"367","BA000022.2",2870181,2870181,1,"-",6.65201871477791
"368","BA000022.2",2901981,2901981,1,"-",5.47441729722672
"369","BA000022.2",2904603,2904603,1,"-",11.1256893581023
"370","BA000022.2",2940507,2940507,1,"-",8.281514102796
"371","BA000022.2",2974203,2974203,1,"-",16.6570541313434
"372","BA000022.2",2979407,2979407,1,"-",11.229659313257
"373","BA000022.2",2987210,2987210,1,"-",7.97357794825647
"374","BA000022.2",3014559,3014559,1,"-",6.38835026110768
"375","BA000022.2",3020769,3020769,1,"-",7.80993889094642
"376","BA000022.2",3033143,3033143,1,"-",7.90701758818654
"377","BA000022.2",3035501,3035501,1,"-",12.6158264560418
"378","BA000022.2",3051763,3051765,3,"-",5.33667399168917
"379","BA000022.2",3085252,3085252,1,"-",7.98385606788941
"380","BA000022.2",3108034,3108034,1,"-",5.95831934265583
"381","BA000022.2",3155231,3155231,1,"-",5.1359186051526
"382","BA000022.2",3161326,3161326,1,"-",7.40156744802849
"383","BA000022.2",3182977,3182977,1,"-",7.49311554258435
"384","BA000022.2",3229386,3229386,1,"-",6.50655324296684
"385","BA000022.2",3231311,3231311,1,"-",7.32739073175874
"386","BA000022.2",3232423,3232423,1,"-",6.89150240382253
"387","BA000022.2",3303714,3303714,1,"-",7.9372059349674
"388","BA000022.2",3313924,3313926,3,"-",6.73537501920025
"389","BA000022.2",3337136,3337136,1,"-",8.64829654388369
"390","BA000022.2",3360391,3360391,1,"-",8.06479653522234
"391","BA000022.2",3379972,3379974,3,"-",10.2672373580267
"392","BA000022.2",3380074,3380074,1,"-",8.96009348354384
"393","BA000022.2",3399248,3399248,1,"-",5.64284037744859
"394","BA000022.2",3408052,3408052,1,"-",5.84952485573462
"395","BA000022.2",3428320,3428320,1,"-",11.0279521027315
"396","BA000022.2",3434146,3434146,1,"-",9.57482826451819
"397","BA000022.2",3434235,3434238,4,"-",13.9177277532786
"398","BA000022.2",3459136,3459136,1,"-",8.26038563029323
"399","BA000022.2",3466855,3466855,1,"-",13.9397269744474
"400","BA000022.2",3469781,3469781,1,"-",14.5177520200077
"401","BA000022.2",3483172,3483173,2,"-",7.35259454425938
"402","BA000022.2",3509096,3509096,1,"-",7.47324726333329
"403","BA000022.2",3509264,3509264,1,"-",9.95871542495843
"404","BA000022.2",3517406,3517406,1,"-",9.36187764951538
"405","BA000022.2",3551380,3551380,1,"-",10.7654543597144
"406","BA000022.2",3554192,3554192,1,"-",17.4079042005445
"407","BA000022.2",3559585,3559585,1,"-",9.02654767470493
"408","BA000022.2",3564633,3564633,1,"-",8.26766121885577
"409","BA000022.2",3567106,3567107,2,"-",6.5178521257413
"410","BA000022.2",3569490,3569490,1,"-",9.24085554504308
"411","BA000022.2",3571212,3571212,1,"-",3.54647882476324
