"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0005737","GO:0005737","cytoplasm",326,-0.274289549500692,-1.44067983907243,0.000376725083855277,0.00473597248275206,0.00348399889580444,1442,"tags=35%, list=26%, signal=27%","slr2035/slr0638/sll0534/sll1818/slr0965/sll0902/sll1615/slr1022/slr1072/slr1829/slr1289/slr1898/slr1234/slr1887/slr1019/slr1808/sll0873/sll0567/sll0996/slr1565/sll0400/sll1394/slr0242/slr1884/sll1185/sll1868/slr1428/sll1172/slr0734/sll0202/slr0444/sll0569/ssl1707/sll0395/sll0179/sll1459/sll1572/sll1108/slr1476/sll1110/sll0495/slr1598/sll1479/sll2010/slr0585/sll1783/sll1099/slr0954/slr2130/slr2073/sll1056/slr0434/sll1553/slr1622/sll0145/slr0526/slr1124/sll1362/slr1616/slr1720/slr1844/sll0899/slr1679/sll0158/slr0707/slr0710/slr1510/slr1096/sll0708/sll0144/sll6053/slr0603/sll1342/sll1430/slr0657/sll2005/slr0713/sll0379/sll1941/sll0245/sll1815/slr1842/sll0083/slr1550/slr0847/slr1031/sll1750/slr1517/slr0082/slr1351/slr1945/slr1256/sll0373/sll0204/sll1343/slr0346/slr0426/sll1212/slr1703/slr1874/slr1105/sll0422/slr0156/slr1779/slr0557/slr1278/slr1251/sll0420/sll1852/sll0209/slr0006/slr0922/sll0370/slr0653"
"GO:0000155","GO:0000155","phosphorelay sensor kinase activity",54,0.524340258468209,1.86059164983546,0.000485898207393161,0.00509548746259149,0.00374847462858106,2002,"tags=61%, list=36%, signal=39%","slr0533/sll0790/slr1147/slr1285/sll0094/slr0829/slr1731/slr1212/slr0487/slr0210/sll1905/sll1888/slr1805/slr1400/sll1124/sll1687/slr0640/slr2104/sll1473/sll1555/sll1003/slr1969/slr1393/slr1759/slr2098/sll0750/slr0484/slr0302/sll1334/sll0474/slr0222/sll1353/sll0698"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",20,-0.657272843391367,-2.02886205271564,0.000485913356979366,0.00509548746259149,0.00374847462858106,1385,"tags=80%, list=25%, signal=60%","sll1801/sll1821/sll1808/sll1824/sll1802/sll1813/ssl3436/sll1803/sll1805/sll1811/sll1244/sll0767/ssl1426/sll1743/sll1740/sll1745"
"GO:0007165","GO:0007165","signal transduction",75,0.465204163558269,1.75074631185653,0.000492177766273041,0.00509548746259149,0.00374847462858106,2360,"tags=67%, list=43%, signal=39%","slr0533/sll0790/slr1147/slr1285/sll0094/slr0829/slr1212/slr0487/slr0210/sll1905/sll0040/sll1888/slr1805/slr1400/sll1124/sll1687/slr0640/slr2104/sll1473/sll1555/sll1003/sll0041/sll1673/slr1969/slr1393/slr1759/slr2098/slr0257/sll0750/slr1385/slr0484/slr0302/sll1334/sll0474/sll1383/slr0222/sll1365/sll1353/sll0698/sll0267/slr0658/slr0359/slr0473/sll1475/slr1324/sll0044/slr1305/slr1983/sll0798/sll1296"
"GO:0015977","GO:0015977","carbon fixation",13,-0.732457716854592,-1.97573177270839,0.00054185082363549,0.00529809694221368,0.00389752346825528,522,"tags=62%, list=9%, signal=56%","slr0169/sll1028/sll1032/sll1031/slr0012/slr0009/sll1030/sll1029"
"GO:0009060","GO:0009060","aerobic respiration",10,-0.77063131514971,-1.92984778663506,0.000671463168249266,0.00612165442992775,0.00450337018469565,648,"tags=60%, list=12%, signal=53%","slr1137/sll0027/sll0519/slr1280/sll1733/slr1291"
"GO:0004673","GO:0004673","protein histidine kinase activity",43,0.539390407016349,1.82185687183809,0.000695642548855426,0.00612165442992775,0.00450337018469565,2002,"tags=63%, list=36%, signal=40%","slr0533/sll0790/slr1147/slr1285/sll0094/slr1731/slr1212/slr0210/sll1905/sll1888/slr1805/slr1400/sll1124/slr0640/slr2104/sll1555/sll1003/slr1969/slr1393/slr1759/slr2098/sll0750/slr0484/sll0474/slr0222/sll1353/sll0698"
"GO:0031470","GO:0031470",NA,12,-0.74523317460919,-1.97482680673243,0.000786660245993278,0.00659296206165795,0.0048500857271766,522,"tags=67%, list=9%, signal=60%","slr0169/sll1028/sll1032/sll1031/slr0012/slr0009/sll1030/sll1029"
"GO:0018106","GO:0018106","peptidyl-histidine phosphorylation",42,0.535188761149889,1.80310273380091,0.00116495895005871,0.00931967160046967,0.00685597850991489,2002,"tags=62%, list=36%, signal=40%","slr0533/sll0790/slr1147/slr1285/sll0094/slr1212/slr0210/sll1905/sll1888/slr1805/slr1400/sll1124/slr0640/slr2104/sll1555/sll1003/slr1969/slr1393/slr1759/slr2098/sll0750/slr0484/sll0474/slr0222/sll1353/sll0698"
"GO:0005506","GO:0005506","iron ion binding",46,-0.450275284945585,-1.71054298136616,0.00191226942741496,0.0144473761332275,0.0106281534951375,949,"tags=37%, list=17%, signal=31%","sll1510/sll1285/slr2033/sll1317/ssl3580/sll1796/slr1137/slr1364/slr1311/smr0006/ssr3451/sll0662/slr0927/sll1214/slr1280/sll0520/sll1867"
"GO:0019843","GO:0019843","rRNA binding",37,-0.488338191309705,-1.76963797898625,0.00197009674544012,0.0144473761332275,0.0106281534951375,1385,"tags=65%, list=25%, signal=49%","sll1801/sll1096/sll1799/sll1808/sll1816/ssl3441/sll1802/sll1804/sll1813/ssl1784/sll1097/sll1807/ssl3437/sll1809/slr0954/ssl3432/sll1812/sll1803/sll1805/sll1244/sll0767/slr0346/sll1743/slr1105"
"GO:0004871","GO:0004871","GO:0004871",63,0.458339670091153,1.67805168466264,0.00294902024972457,0.020761102558061,0.0152728206617315,2360,"tags=67%, list=43%, signal=39%","slr0533/sll0790/slr1147/slr1285/slr0829/slr1212/slr0487/slr0210/sll1905/sll0040/sll1888/slr1805/sll1124/sll1687/slr0640/slr2104/sll1473/sll1003/sll0041/sll1673/slr1393/slr1759/slr2098/sll0750/slr1385/slr0484/slr0302/sll0474/slr0222/sll1365/sll1353/sll0698/sll0267/slr0359/slr0473/sll1475/slr1324/sll0044/slr1305/slr1983/sll0798/sll1296"
"GO:0006310","GO:0006310","DNA recombination",28,0.571902228220338,1.75834435090414,0.00376988371052921,0.0255192128097362,0.0187731051172103,206,"tags=21%, list=4%, signal=21%","slr8029/slr7005/sll6059/slr5010/sll6109/slr0181"
"GO:0016772","GO:0016772","transferase activity, transferring phosphorus-containing groups",43,0.49500737967985,1.67194778503535,0.0045240243458549,0.0294899364766838,0.0216941518339241,2002,"tags=60%, list=36%, signal=39%","slr0533/sll0790/slr1147/slr0301/sll0094/slr0210/sll1905/sll1888/slr1805/slr1400/sll1124/slr0640/slr2104/sll1555/sll1003/slr1369/slr1969/slr1393/slr1759/slr2098/sll0750/slr0484/sll0474/slr0222/sll1353/sll0698"
"GO:0016310","GO:0016310","phosphorylation",44,0.479452878252551,1.62917644117911,0.00698540227268815,0.043908242856897,0.0323009202834828,2002,"tags=59%, list=36%, signal=38%","slr0533/sll0790/slr1147/slr0301/sll0094/slr0210/sll1905/sll0711/sll1888/slr1805/slr1400/sll1124/slr0640/slr2104/sll1555/sll1003/slr1969/slr1393/slr1759/slr2098/sll0750/slr0484/sll0474/slr0222/sll1353/sll0698"
"GO:0030288","GO:0030288","outer membrane-bounded periplasmic space",80,-0.345192774375498,-1.48979523995667,0.00752083622981817,0.0456436957395861,0.0335775991385711,1120,"tags=28%, list=20%, signal=22%","sll1784/sll1785/sll0224/slr1761/sll1306/sll1762/slr1331/slr2048/sll1270/sll1314/sll1380/slr0708/sll0319/slr1270/sll1532/slr1406/slr0447/slr1160/slr1452/slr0051/sll1835/sll1483"
"GO:0015935","GO:0015935","small ribosomal subunit",13,-0.642228834722218,-1.73234834572992,0.00828661149836744,0.048614787457089,0.0357632706771648,1903,"tags=85%, list=35%, signal=56%","slr0628/ssl2233/sll1260/sll1822/sll1096/sll1816/sll1804/sll1097/ssl3432/ssr0482/sll1812"
